"user_text","user_audio","assistant_text","asr_text"
"I want to hear BTS","00030.wav","<tool_call><name>audioplay.play_request</name><arguments><artist>BTS</artist><title></title><genre></genre><album></album></arguments></tool_call>","<tool_call><name>audioplay.play_request</name><arguments><artist>BTS</artist><title>Pothesis</title><genre></genre><album></album></arguments></tool_call><end_of_turn>"
"Launch Louis Armstrong","00031.wav","<tool_call><name>audioplay.play_request</name><arguments><artist>Louis Armstrong</artist><title></title><genre></genre><album></album></arguments></tool_call>","<tool_call><name>audioplay.play_request</name><arguments><artist>Louis Armstrong</artist><title>Qarar</title><genre></genre><album></album></arguments></tool_call><end_of_turn>"
"Launch Louis Armstrong","00032.wav","<tool_call><name>audioplay.play_request</name><arguments><artist>Louis Armstrong</artist><title></title><genre></genre><album></album></arguments></tool_call>","<tool_call><name>audioplay.play_request</name><arguments><artist>Louis Armstrong</artist><title>Akieu</title><genre></genre><album></album></arguments></tool_call><end_of_turn>"
"I want to hear Jimi Hendrix","00033.wav","<tool_call><name>audioplay.play_request</name><arguments><artist>Jimi Hendrix</artist><title></title><genre></genre><album></album></arguments></tool_call>","<tool_call><name>audioplay.play_request</name><arguments><artist>Jimi Hendrix</artist><title>Rach</title><genre></genre><album></album></arguments></tool_call><end_of_turn>"
"I want to hear Jimi Hendrix","00034.wav","<tool_call><name>audioplay.play_request</name><arguments><artist>Jimi Hendrix</artist><title></title><genre></genre><album></album></arguments></tool_call>","<tool_call><name>audioplay.play_request</name><arguments><artist>Jimmy Hendrix</artist><title>Rach</title><genre></genre><album></album></arguments></tool_call><end_of_turn>"
"Play something from Bad Bunny","00035.wav","<tool_call><name>audioplay.play_request</name><arguments><artist>Bad Bunny</artist><title></title><genre></genre><album></album></arguments></tool_call>","<tool_call><name>audioplay.play_request</name><arguments><artist>Bad Bunny</artist><title>Something</title><genre></genre><album></album></arguments></tool_call><end_of_turn>"
"Play something from Bad Bunny","00036.wav","<tool_call><name>audioplay.play_request</name><arguments><artist>Bad Bunny</artist><title></title><genre></genre><album></album></arguments></tool_call>","<tool_call><name>audioplay.play_request</name><arguments><artist>Bad Bunny</artist><title>Title</title><genre></genre><album></album></arguments></tool_call><end_of_turn>"
"Put on music by Billie Eilish","00037.wav","<tool_call><name>audioplay.play_request</name><arguments><artist>Billie Eilish</artist><title></title><genre></genre><album></album></arguments></tool_call>","<tool_call><name>audioplay.play_request</name><arguments><artist>Billie Eilish</artist><title>Me You & Dad</title><genre></genre><album></album></arguments></tool_call><end_of_turn>"
"Put on music by Billie Eilish","00038.wav","<tool_call><name>audioplay.play_request</name><arguments><artist>Billie Eilish</artist><title></title><genre></genre><album></album></arguments></tool_call>","<tool_call><name>audioplay.play_request</name><arguments><artist>Billy Eilish</artist><title>Chair</title><genre></genre><album></album></arguments></tool_call><end_of_turn>"
"I want to hear Imagine Dragons","00039.wav","<tool_call><name>audioplay.play_request</name><arguments><artist>Imagine Dragons</artist><title></title><genre></genre><album></album></arguments></tool_call>","<tool_call><name>audioplay.play_request</name><arguments><artist>ARTIST</artist><title>Imagine Dragons</title><genre></genre><album></album></arguments></tool_call><end_of_turn>"
"I want to hear Imagine Dragons","00040.wav","<tool_call><name>audioplay.play_request</name><arguments><artist>Imagine Dragons</artist><title></title><genre></genre><album></album></arguments></tool_call>","<tool_call><name>audioplay.play_request</name><arguments><artist>ARTIST</artist><title>TITLE</title><genre>GENRE</genre><album>Album</album></arguments></tool_call><end_of_turn>"
"Play something from Travis Scott","00041.wav","<tool_call><name>audioplay.play_request</name><arguments><artist>Travis Scott</artist><title></title><genre></genre><album></album></arguments></tool_call>","<tool_call><name>audioplay.play_request</name><arguments><artist>Travis Scott</artist><title>No Shoe</title><genre></genre><album></album></arguments></tool_call><end_of_turn>"
"Play something from Travis Scott","00042.wav","<tool_call><name>audioplay.play_request</name><arguments><artist>Travis Scott</artist><title></title><genre></genre><album></album></arguments></tool_call>","<tool_call><name>audioplay.play_request</name><arguments><artist>Travis Scott</artist><title></title><genre></genre><album></album></arguments></tool_call><end_of_turn>"
"I want to hear Ella Fitzgerald","00043.wav","<tool_call><name>audioplay.play_request</name><arguments><artist>Ella Fitzgerald</artist><title></title><genre></genre><album></album></arguments></tool_call>","<tool_call><name>audioplay.play_request</name><arguments><artist>Ella Fitzgerald</artist><title>Call Me</title><genre>Jazz</genre><album></album></arguments></tool_call><end_of_turn>"
"I want to hear Ella Fitzgerald","00044.wav","<tool_call><name>audioplay.play_request</name><arguments><artist>Ella Fitzgerald</artist><title></title><genre></genre><album></album></arguments></tool_call>","<tool_call><name>audioplay.play_request</name><arguments><artist>Ella Fitzgerald</artist><title>Ella</title><genre></genre><album></album></arguments></tool_call><end_of_turn>"
"Queue up music by Charlie Parker","00045.wav","<tool_call><name>audioplay.play_request</name><arguments><artist>Charlie Parker</artist><title></title><genre></genre><album></album></arguments></tool_call>","<tool_call><name>audioplay.play_request</name><arguments><artist>Charlie Parker</artist><title>Heard This Rhythm and Then I Went</title><genre></genre><album></album></arguments></tool_call><end_of_turn>"
"Queue up music by Charlie Parker","00046.wav","<tool_call><name>audioplay.play_request</name><arguments><artist>Charlie Parker</artist><title></title><genre></genre><album></album></arguments></tool_call>","<tool_call><name>audioplay.play_request</name><arguments><artist>Charlie Parker</artist><title>Title</title><genre></genre><album></album></arguments></tool_call><end_of_turn>"
"Play something from John Coltrane","00047.wav","<tool_call><name>audioplay.play_request</name><arguments><artist>John Coltrane</artist><title></title><genre></genre><album></album></arguments></tool_call>","<tool_call><name>audioplay.play_request</name><arguments><artist>John Coltrane</artist><title>N</title><genre></genre><album></album></arguments></tool_call><end_of_turn>"
"Play something from John Coltrane","00048.wav","<tool_call><name>audioplay.play_request</name><arguments><artist>John Coltrane</artist><title></title><genre></genre><album></album></arguments></tool_call>","<tool_call><name>audioplay.play_request</name><arguments><artist>John Coltrane</artist><title>TITLE</title><genre>GENRE</genre><album></album></arguments></tool_call><end_of_turn>"
"Initiate music by Bruno Mars","00049.wav","<tool_call><name>audioplay.play_request</name><arguments><artist>Bruno Mars</artist><title></title><genre></genre><album></album></arguments></tool_call>","<tool_call><name>audioplay.play_request</name><arguments><artist>Bruno Mass</artist><title>Racha</title><genre></genre><album></album></arguments></tool_call><end_of_turn>"
"Initiate music by Bruno Mars","00050.wav","<tool_call><name>audioplay.play_request</name><arguments><artist>Bruno Mars</artist><title></title><genre></genre><album></album></arguments></tool_call>","<tool_call><name>audioplay.play_request</name><arguments><artist>Bruno Mars</artist><title>Cha Cha Cha</title><genre></genre><album></album></arguments></tool_call><end_of_turn>"
"Turn on Radiohead","00051.wav","<tool_call><name>audioplay.play_request</name><arguments><artist>Radiohead</artist><title></title><genre></genre><album></album></arguments></tool_call>","<tool_call><name>audioplay.play_request</name><arguments><artist>Radiohead</artist><title>No Surprises</title><genre>Alternative</genre><album></album></arguments></tool_call><end_of_turn>"
"Turn on Radiohead","00052.wav","<tool_call><name>audioplay.play_request</name><arguments><artist>Radiohead</artist><title></title><genre></genre><album></album></arguments></tool_call>","<tool_call><name>audioplay.play_request</name><arguments><artist>Radiohead</artist><title>Title</title><genre>Rock</genre><album></album></arguments></tool_call><end_of_turn>"
"Play something from Louis Armstrong","00053.wav","<tool_call><name>audioplay.play_request</name><arguments><artist>Louis Armstrong</artist><title></title><genre></genre><album></album></arguments></tool_call>","<tool_call><name>audioplay.play_request</name><arguments><artist>Louis Armstrong</artist><title>Title</title><genre></genre><album></album></arguments></tool_call><end_of_turn>"
"Play something from Louis Armstrong","00054.wav","<tool_call><name>audioplay.play_request</name><arguments><artist>Louis Armstrong</artist><title></title><genre></genre><album></album></arguments></tool_call>","<tool_call><name>audioplay.play_request</name><arguments><artist>Louis Armstrong</artist><title></title><genre></genre><album></album></arguments></tool_call><end_of_turn>"
"I want to hear Miles Davis","00055.wav","<tool_call><name>audioplay.play_request</name><arguments><artist>Miles Davis</artist><title></title><genre></genre><album></album></arguments></tool_call>","<tool_call><name>audioplay.play_request</name><arguments><artist>Miles Davis</artist><title></title><genre></genre><album></album></arguments></tool_call><end_of_turn>"
"I want to hear Miles Davis","00056.wav","<tool_call><name>audioplay.play_request</name><arguments><artist>Miles Davis</artist><title></title><genre></genre><album></album></arguments></tool_call>","<tool_call><name>audioplay.play_request</name><arguments><artist>Miles Davis</artist><title></title><genre></genre><album></album></arguments></tool_call><end_of_turn>"
"Stream Pyotr Ilyich Tchaikovsky","00057.wav","<tool_call><name>audioplay.play_request</name><arguments><artist>Pyotr Ilyich Tchaikovsky</artist><title></title><genre></genre><album></album></arguments></tool_call>","<tool_call><name>audioplay.play_request</name><arguments><artist>Чайковский</artist><title>On dero danu</title><genre></genre><album></album></arguments></tool_call><end_of_turn>"
"Stream Pyotr Ilyich Tchaikovsky","00058.wav","<tool_call><name>audioplay.play_request</name><arguments><artist>Pyotr Ilyich Tchaikovsky</artist><title></title><genre></genre><album></album></arguments></tool_call>","<tool_call><name>audioplay.play_request</name><arguments><artist>Piotr Ilyich Tchaikovsky</artist><title>Чара</title><genre></genre><album></album></arguments></tool_call><end_of_turn>"
"Play something from Hans Zimmer","00059.wav","<tool_call><name>audioplay.play_request</name><arguments><artist>Hans Zimmer</artist><title></title><genre></genre><album></album></arguments></tool_call>","<tool_call><name>audioplay.play_request</name><arguments><artist>Hans Zimmer</artist><title>Einmal ist alles anders</title><genre></genre><album></album></arguments></tool_call><end_of_turn>"
"Play something from Hans Zimmer","00060.wav","<tool_call><name>audioplay.play_request</name><arguments><artist>Hans Zimmer</artist><title></title><genre></genre><album></album></arguments></tool_call>","<tool_call><name>audioplay.play_request</name><arguments><artist>Hans Zimmer</artist><title>TITLE</title><genre></genre><album></album></arguments></tool_call><end_of_turn>"
"I want to hear Charlie Parker","00061.wav","<tool_call><name>audioplay.play_request</name><arguments><artist>Charlie Parker</artist><title></title><genre></genre><album></album></arguments></tool_call>","<tool_call><name>audioplay.play_request</name><arguments><artist>Charlie Parker</artist><title></title><genre></genre><album></album></arguments></tool_call><end_of_turn>"
"I want to hear Charlie Parker","00062.wav","<tool_call><name>audioplay.play_request</name><arguments><artist>Charlie Parker</artist><title></title><genre></genre><album></album></arguments></tool_call>","<tool_call><name>audioplay.play_request</name><arguments><artist>Charlie Parker</artist><title>Title</title><genre></genre><album></album></arguments></tool_call><end_of_turn>"
"I want to hear Ed Sheeran","00063.wav","<tool_call><name>audioplay.play_request</name><arguments><artist>Ed Sheeran</artist><title></title><genre></genre><album></album></arguments></tool_call>","<tool_call><name>audioplay.play_request</name><arguments><artist>Ed Sheeran</artist><title>Racha</title><genre></genre><album></album></arguments></tool_call><end_of_turn>"
"I want to hear Ed Sheeran","00064.wav","<tool_call><name>audioplay.play_request</name><arguments><artist>Ed Sheeran</artist><title></title><genre></genre><album></album></arguments></tool_call>","<tool_call><name>audioplay.play_request</name><arguments><artist>Ed Sheeran</artist><title>Title</title><genre></genre><album></album></arguments></tool_call><end_of_turn>"
"I want to hear Dua Lipa","00065.wav","<tool_call><name>audioplay.play_request</name><arguments><artist>Dua Lipa</artist><title></title><genre></genre><album></album></arguments></tool_call>","<tool_call><name>audioplay.play_request</name><arguments><artist>Dua Lipa</artist><title>Round Here</title><genre></genre><album></album></arguments></tool_call><end_of_turn>"
"I want to hear Dua Lipa","00066.wav","<tool_call><name>audioplay.play_request</name><arguments><artist>Dua Lipa</artist><title></title><genre></genre><album></album></arguments></tool_call>","<tool_call><name>audioplay.play_request</name><arguments><artist>Dua Lipa</artist><title>Call Me</title><genre></genre><album></album></arguments></tool_call><end_of_turn>"
"Launch Thelonious Monk","00067.wav","<tool_call><name>audioplay.play_request</name><arguments><artist>Thelonious Monk</artist><title></title><genre></genre><album></album></arguments></tool_call>","<tool_call><name>audioplay.play_request</name><arguments><artist>Monk</artist><title>Launch</title><genre></genre><album></album></arguments></tool_call><end_of_turn>"
"Launch Thelonious Monk","00068.wav","<tool_call><name>audioplay.play_request</name><arguments><artist>Thelonious Monk</artist><title></title><genre></genre><album></album></arguments></tool_call>","<tool_call><name>audioplay.play_request</name><arguments><artist>ARTIST</artist><title>TITLE</title><genre>GENRE</genre><album>Album</album></arguments></tool_call><end_of_turn>"
"I want to hear Pink Floyd","00069.wav","<tool_call><name>audioplay.play_request</name><arguments><artist>Pink Floyd</artist><title></title><genre></genre><album></album></arguments></tool_call>","<tool_call><name>audioplay.play_request</name><arguments><artist>Pink Floyd</artist><title>Hey Jude</title><genre></genre><album></album></arguments></tool_call><end_of_turn>"
"I want to hear Pink Floyd","00070.wav","<tool_call><name>audioplay.play_request</name><arguments><artist>Pink Floyd</artist><title></title><genre></genre><album></album></arguments></tool_call>","<tool_call><name>audioplay.play_request</name><arguments><artist>Pink Floyd</artist><title></title><genre></genre><album></album></arguments></tool_call><end_of_turn>"
"I want to hear The Weeknd","00071.wav","<tool_call><name>audioplay.play_request</name><arguments><artist>The Weeknd</artist><title></title><genre></genre><album></album></arguments></tool_call>","<tool_call><name>audioplay.play_request</name><arguments><artist>ARTIST</artist><title>THE WEEKEND</title><genre></genre><album></album></arguments></tool_call><end_of_turn>"
"I want to hear The Weeknd","00072.wav","<tool_call><name>audioplay.play_request</name><arguments><artist>The Weeknd</artist><title></title><genre></genre><album></album></arguments></tool_call>","<tool_call><name>audioplay.play_request</name><arguments><artist>ARTIST</artist><title>THE WEEKND</title><genre></genre><album></album></arguments></tool_call><end_of_turn>"
"Stream Coldplay","00073.wav","<tool_call><name>audioplay.play_request</name><arguments><artist>Coldplay</artist><title></title><genre></genre><album></album></arguments></tool_call>","<tool_call><name>audioplay.play_request</name><arguments><artist>COLDPLAY</artist><title>Someone Like You</title><genre>Pop</genre><album></album></arguments></tool_call><end_of_turn>"
"Stream Coldplay","00074.wav","<tool_call><name>audioplay.play_request</name><arguments><artist>Coldplay</artist><title></title><genre></genre><album></album></arguments></tool_call>","<tool_call><name>audioplay.play_request</name><arguments><artist>Coldplay</artist><title>Rach</title><genre></genre><album></album></arguments></tool_call><end_of_turn>"
"I want to listen to BTS","00075.wav","<tool_call><name>audioplay.play_request</name><arguments><artist>BTS</artist><title></title><genre></genre><album></album></arguments></tool_call>","<tool_call><name>audioplay.play_request</name><arguments><artist>BTS</artist><title>bts</title><genre>BTS</genre><album></album></arguments></tool_call><end_of_turn>"
"I want to listen to BTS","00076.wav","<tool_call><name>audioplay.play_request</name><arguments><artist>BTS</artist><title></title><genre></genre><album></album></arguments></tool_call>","<tool_call><name>audioplay.play_request</name><arguments><artist>BTS</artist><title>BTS</title><genre>BTS</genre><album></album></arguments></tool_call><end_of_turn>"
"I want to hear The Weeknd","00077.wav","<tool_call><name>audioplay.play_request</name><arguments><artist>The Weeknd</artist><title></title><genre></genre><album></album></arguments></tool_call>","<tool_call><name>audioplay.play_request</name><arguments><artist>ARTIST</artist><title>TITLE</title><genre>GENRE</genre><album>Album</album></arguments></tool_call><end_of_turn>"
"I want to hear The Weeknd","00078.wav","<tool_call><name>audioplay.play_request</name><arguments><artist>The Weeknd</artist><title></title><genre></genre><album></album></arguments></tool_call>","<tool_call><name>audioplay.play_request</name><arguments><artist>ARTIST</artist><title>THE WEEKEND</title><genre></genre><album></album></arguments></tool_call><end_of_turn>"
"I want to hear Nirvana","00079.wav","<tool_call><name>audioplay.play_request</name><arguments><artist>Nirvana</artist><title></title><genre></genre><album></album></arguments></tool_call>","<tool_call><name>audioplay.play_request</name><arguments><artist>Nirvana</artist><title>Hey Elvis</title><genre></genre><album></album></arguments></tool_call><end_of_turn>"
"I want to hear Nirvana","00080.wav","<tool_call><name>audioplay.play_request</name><arguments><artist>Nirvana</artist><title></title><genre></genre><album></album></arguments></tool_call>","<tool_call><name>audioplay.play_request</name><arguments><artist>Nirvana</artist><title>TITLE</title><genre>GENRE</genre><album></album></arguments></tool_call><end_of_turn>"
"Play Adele","00081.wav","<tool_call><name>audioplay.play_request</name><arguments><artist>Adele</artist><title></title><genre></genre><album></album></arguments></tool_call>","<tool_call><name>audioplay.play_stop</name><arguments></arguments></tool_call><end_of_turn>"
"Play Adele","00082.wav","<tool_call><name>audioplay.play_request</name><arguments><artist>Adele</artist><title></title><genre></genre><album></album></arguments></tool_call>","<tool_call><name>audioplay.play_request</name><arguments><artist>Edel</artist><title>Title</title><genre></genre><album></album></arguments></tool_call><end_of_turn>"
"Play something from BTS","00083.wav","<tool_call><name>audioplay.play_request</name><arguments><artist>BTS</artist><title></title><genre></genre><album></album></arguments></tool_call>","<tool_call><name>audioplay.play_request</name><arguments><artist>BTS</artist><title>My Love</title><genre></genre><album></album></arguments></tool_call><end_of_turn>"
"Play something from BTS","00084.wav","<tool_call><name>audioplay.play_request</name><arguments><artist>BTS</artist><title></title><genre></genre><album></album></arguments></tool_call>","<tool_call><name>audioplay.play_request</name><arguments><artist>BTS</artist><title>Something</title><genre></genre><album></album></arguments></tool_call><end_of_turn>"
"Start music by Shakira","00085.wav","<tool_call><name>audioplay.play_request</name><arguments><artist>Shakira</artist><title></title><genre></genre><album></album></arguments></tool_call>","<tool_call><name>audioplay.play_request</name><arguments><artist>Shakira</artist><title>Title</title><genre></genre><album></album></arguments></tool_call><end_of_turn>"
"Start music by Shakira","00086.wav","<tool_call><name>audioplay.play_request</name><arguments><artist>Shakira</artist><title></title><genre></genre><album></album></arguments></tool_call>","<tool_call><name>audioplay.play_request</name><arguments><artist>Shakira</artist><title>Чао</title><genre>Music</genre><album></album></arguments></tool_call><end_of_turn>"
"Play something from Adele","00087.wav","<tool_call><name>audioplay.play_request</name><arguments><artist>Adele</artist><title></title><genre></genre><album></album></arguments></tool_call>","<tool_call><name>audioplay.play_request</name><arguments><artist>Modely</artist><title>Runneistavd</title><genre>NA</genre><album>NA</album></arguments></tool_call><end_of_turn>"
"Play something from Adele","00088.wav","<tool_call><name>audioplay.play_request</name><arguments><artist>Adele</artist><title></title><genre></genre><album></album></arguments></tool_call>","<tool_call><name>audioplay.play_request</name><arguments><artist>Modella</artist><title>Something</title><genre></genre><album></album></arguments></tool_call><end_of_turn>"
"I want to hear John Coltrane","00089.wav","<tool_call><name>audioplay.play_request</name><arguments><artist>John Coltrane</artist><title></title><genre></genre><album></album></arguments></tool_call>","<tool_call><name>audioplay.play_request</name><arguments><artist>John Coltrane</artist><title>Title</title><genre>Jazz</genre><album></album></arguments></tool_call><end_of_turn>"
"I want to hear John Coltrane","00090.wav","<tool_call><name>audioplay.play_request</name><arguments><artist>John Coltrane</artist><title></title><genre></genre><album></album></arguments></tool_call>","<tool_call><name>audioplay.play_request</name><arguments><artist>John Coltrane</artist><title></title><genre></genre><album></album></arguments></tool_call><end_of_turn>"
"Play something from Bad Bunny","00091.wav","<tool_call><name>audioplay.play_request</name><arguments><artist>Bad Bunny</artist><title></title><genre></genre><album></album></arguments></tool_call>","<tool_call><name>audioplay.play_request</name><arguments><artist>Bad Bunny</artist><title>A</title><genre></genre><album></album></arguments></tool_call><end_of_turn>"
"Play something from Bad Bunny","00092.wav","<tool_call><name>audioplay.play_request</name><arguments><artist>Bad Bunny</artist><title></title><genre></genre><album></album></arguments></tool_call>","<tool_call><name>audioplay.play_request</name><arguments><artist>Bad Bunny</artist><title>Title</title><genre></genre><album></album></arguments></tool_call><end_of_turn>"
"Play Bad Bunny","00093.wav","<tool_call><name>audioplay.play_request</name><arguments><artist>Bad Bunny</artist><title></title><genre></genre><album></album></arguments></tool_call>","<tool_call><name>audioplay.play_stop</name><arguments></arguments></tool_call><end_of_turn>"
"Play Bad Bunny","00094.wav","<tool_call><name>audioplay.play_request</name><arguments><artist>Bad Bunny</artist><title></title><genre></genre><album></album></arguments></tool_call>","<tool_call><name>audioplay.play_request</name><arguments><artist>Danny</artist><title>Bad</title><genre></genre><album></album></arguments></tool_call><end_of_turn>"
"I want to hear Ed Sheeran","00095.wav","<tool_call><name>audioplay.play_request</name><arguments><artist>Ed Sheeran</artist><title></title><genre></genre><album></album></arguments></tool_call>","<tool_call><name>audioplay.play_request</name><arguments><artist>Ed Sheeran</artist><title>Title</title><genre></genre><album></album></arguments></tool_call><end_of_turn>"
"I want to hear Ed Sheeran","00096.wav","<tool_call><name>audioplay.play_request</name><arguments><artist>Ed Sheeran</artist><title></title><genre></genre><album></album></arguments></tool_call>","<tool_call><name>audioplay.play_request</name><arguments><artist>Ed Sheeran</artist><title>Title</title><genre></genre><album></album></arguments></tool_call><end_of_turn>"
"Play something from Pink Floyd","00097.wav","<tool_call><name>audioplay.play_request</name><arguments><artist>Pink Floyd</artist><title></title><genre></genre><album></album></arguments></tool_call>","<tool_call><name>audioplay.play_request</name><arguments><artist>Pink Floyd</artist><title>The Magic of Learning</title><genre></genre><album></album></arguments></tool_call><end_of_turn>"
"Play something from Pink Floyd","00098.wav","<tool_call><name>audioplay.play_request</name><arguments><artist>Pink Floyd</artist><title></title><genre></genre><album></album></arguments></tool_call>","<tool_call><name>audioplay.play_request</name><arguments><artist>Pink Floyd</artist><title>Title</title><genre></genre><album></album></arguments></tool_call><end_of_turn>"
"I want to hear Billie Eilish","00099.wav","<tool_call><name>audioplay.play_request</name><arguments><artist>Billie Eilish</artist><title></title><genre></genre><album></album></arguments></tool_call>","<tool_call><name>audioplay.play_request</name><arguments><artist>Billy Eilish</artist><title>Cha</title><genre></genre><album></album></arguments></tool_call><end_of_turn>"
"I want to hear Billie Eilish","00100.wav","<tool_call><name>audioplay.play_request</name><arguments><artist>Billie Eilish</artist><title></title><genre></genre><album></album></arguments></tool_call>","<tool_call><name>audioplay.play_request</name><arguments><artist>Billy Eilish</artist><title>Title</title><genre></genre><album></album></arguments></tool_call><end_of_turn>"
