{'loss': 11.6999, 'grad_norm': 2830930.75, 'learning_rate': 0.0, 'epoch': 0.01}                                                                                              
{'loss': 0.4095, 'grad_norm': 7.00202751159668, 'learning_rate': 0.00018626262626262628, 'epoch': 0.33}                                                                      
{'loss': 0.4773, 'grad_norm': 7.51118278503418, 'learning_rate': 0.00018585858585858586, 'epoch': 0.33}                                                                      
{'loss': 0.5053, 'grad_norm': 6.819859027862549, 'learning_rate': 0.00018545454545454545, 'epoch': 0.34}                                                                     
{'loss': 0.3708, 'grad_norm': 4.206820487976074, 'learning_rate': 0.00018505050505050505, 'epoch': 0.35}                                                                     
{'loss': 0.391, 'grad_norm': 5.223579406738281, 'learning_rate': 0.00018464646464646465, 'epoch': 0.36}                                                                      
{'loss': 0.344, 'grad_norm': 3.736574649810791, 'learning_rate': 0.00018424242424242427, 'epoch': 0.37}                                                                      
{'loss': 0.4788, 'grad_norm': 11.466440200805664, 'learning_rate': 0.00018383838383838384, 'epoch': 0.38}                                                                    
{'loss': 0.3574, 'grad_norm': 4.70984411239624, 'learning_rate': 0.00018343434343434344, 'epoch': 0.38}                                                                      
{'loss': 0.3637, 'grad_norm': 3.793078660964966, 'learning_rate': 0.00018303030303030304, 'epoch': 0.39}                                                                     
{'loss': 0.3934, 'grad_norm': 13.978025436401367, 'learning_rate': 0.00018262626262626264, 'epoch': 0.4}                                                                     
{'loss': 0.3133, 'grad_norm': 3.647301197052002, 'learning_rate': 0.00018222222222222224, 'epoch': 0.41}                                                                     
{'loss': 0.3192, 'grad_norm': 3.6933836936950684, 'learning_rate': 0.00018181818181818183, 'epoch': 0.42}                                                                    
{'loss': 0.2505, 'grad_norm': 2.1543142795562744, 'learning_rate': 0.0001814141414141414, 'epoch': 0.42}                                                                     
{'loss': 0.2909, 'grad_norm': 3.0023369789123535, 'learning_rate': 0.00018101010101010103, 'epoch': 0.43}                                                                    
{'loss': 0.6747, 'grad_norm': 6.965824127197266, 'learning_rate': 0.00018060606060606063, 'epoch': 0.44}                                                                     
{'loss': 0.3862, 'grad_norm': 3.8033559322357178, 'learning_rate': 0.00018020202020202023, 'epoch': 0.45}                                                                    
{'loss': 0.3791, 'grad_norm': 4.423591613769531, 'learning_rate': 0.0001797979797979798, 'epoch': 0.46}                                                                      
{'loss': 0.3122, 'grad_norm': 2.8567144870758057, 'learning_rate': 0.0001793939393939394, 'epoch': 0.47}                                                                     
{'loss': 0.3404, 'grad_norm': 3.294353485107422, 'learning_rate': 0.000178989898989899, 'epoch': 0.47}                                                                       
{'loss': 0.3135, 'grad_norm': 2.7300493717193604, 'learning_rate': 0.0001785858585858586, 'epoch': 0.48}                                                                     
{'loss': 0.3765, 'grad_norm': 2.88114595413208, 'learning_rate': 0.0001781818181818182, 'epoch': 0.49}                                                                       
{'loss': 0.5189, 'grad_norm': 4.359879493713379, 'learning_rate': 0.00017777777777777779, 'epoch': 0.5}                                                                      
{'loss': 0.5408, 'grad_norm': 4.493109226226807, 'learning_rate': 0.00017737373737373738, 'epoch': 0.51}                                                                     
{'loss': 0.3084, 'grad_norm': 2.286079168319702, 'learning_rate': 0.00017696969696969698, 'epoch': 0.51}                                                                     
{'loss': 0.4504, 'grad_norm': 3.6708498001098633, 'learning_rate': 0.00017656565656565658, 'epoch': 0.52}                                                                    
{'loss': 0.2999, 'grad_norm': 2.3070385456085205, 'learning_rate': 0.00017616161616161618, 'epoch': 0.53}                                                                    
{'loss': 0.3539, 'grad_norm': 4.362832069396973, 'learning_rate': 0.00017575757575757578, 'epoch': 0.54}                                                                     
{'loss': 0.2984, 'grad_norm': 2.5257248878479004, 'learning_rate': 0.00017535353535353535, 'epoch': 0.55}                                                                    
{'loss': 0.3432, 'grad_norm': 2.7033870220184326, 'learning_rate': 0.00017494949494949494, 'epoch': 0.56}                                                                    
{'loss': 0.2903, 'grad_norm': 3.1331002712249756, 'learning_rate': 0.00017454545454545454, 'epoch': 0.56}                                                                    
{'loss': 0.2578, 'grad_norm': 2.377410888671875, 'learning_rate': 0.00017414141414141414, 'epoch': 0.57}                                                                     
{'loss': 0.2826, 'grad_norm': 2.822650671005249, 'learning_rate': 0.00017373737373737377, 'epoch': 0.58}                                                                     
{'loss': 0.3262, 'grad_norm': 2.7697372436523438, 'learning_rate': 0.00017333333333333334, 'epoch': 0.59}                                                                    
{'loss': 0.4315, 'grad_norm': 4.357335090637207, 'learning_rate': 0.00017292929292929293, 'epoch': 0.6}                                                                      
{'loss': 0.2794, 'grad_norm': 2.1098475456237793, 'learning_rate': 0.00017252525252525253, 'epoch': 0.6}                                                                     
{'loss': 0.2921, 'grad_norm': 2.3913519382476807, 'learning_rate': 0.00017212121212121213, 'epoch': 0.61}                                                                    
{'loss': 0.3298, 'grad_norm': 2.5229508876800537, 'learning_rate': 0.00017171717171717173, 'epoch': 0.62}                                                                    
{'loss': 0.2418, 'grad_norm': 1.48366379737854, 'learning_rate': 0.00017131313131313133, 'epoch': 0.63}                                                                      
{'loss': 0.303, 'grad_norm': 1.5417193174362183, 'learning_rate': 0.0001709090909090909, 'epoch': 0.64}                                                                      
{'loss': 0.3754, 'grad_norm': 2.368518590927124, 'learning_rate': 0.00017050505050505052, 'epoch': 0.64}                                                                     
{'loss': 0.3535, 'grad_norm': 2.0250561237335205, 'learning_rate': 0.00017010101010101012, 'epoch': 0.65}                                                                    
{'loss': 0.2741, 'grad_norm': 1.3871986865997314, 'learning_rate': 0.00016969696969696972, 'epoch': 0.66}                                                                    
{'loss': 0.2883, 'grad_norm': 2.0258872509002686, 'learning_rate': 0.00016929292929292932, 'epoch': 0.67}                                                                    
{'loss': 0.2855, 'grad_norm': 2.1844277381896973, 'learning_rate': 0.00016888888888888889, 'epoch': 0.68}                                                                    
{'loss': 0.4058, 'grad_norm': 4.335853099822998, 'learning_rate': 0.00016848484848484848, 'epoch': 0.69}                                                                     
{'loss': 0.2615, 'grad_norm': 1.5384366512298584, 'learning_rate': 0.00016808080808080808, 'epoch': 0.69}                                                                    
{'loss': 0.2819, 'grad_norm': 2.302842140197754, 'learning_rate': 0.00016767676767676768, 'epoch': 0.7}                                                                      
{'loss': 0.2485, 'grad_norm': 1.8018772602081299, 'learning_rate': 0.00016727272727272728, 'epoch': 0.71}                                                                    
{'loss': 0.2305, 'grad_norm': 1.2745450735092163, 'learning_rate': 0.00016686868686868688, 'epoch': 0.72}                                                                    
{'loss': 0.2629, 'grad_norm': 1.4918879270553589, 'learning_rate': 0.00016646464646464647, 'epoch': 0.73}                                                                    
{'loss': 0.243, 'grad_norm': 2.1986939907073975, 'learning_rate': 0.00016606060606060607, 'epoch': 0.73}                                                                     
{'loss': 0.2225, 'grad_norm': 0.9963639378547668, 'learning_rate': 0.00016565656565656567, 'epoch': 0.74}                                                                    
{'loss': 0.2719, 'grad_norm': 1.7026478052139282, 'learning_rate': 0.00016525252525252527, 'epoch': 0.75}                                                                    
{'loss': 0.3179, 'grad_norm': 2.979728937149048, 'learning_rate': 0.00016484848484848487, 'epoch': 0.76}                                                                     
{'loss': 0.2314, 'grad_norm': 1.0668131113052368, 'learning_rate': 0.00016444444444444444, 'epoch': 0.77}                                                                    
{'loss': 0.2573, 'grad_norm': 1.2062574625015259, 'learning_rate': 0.00016404040404040403, 'epoch': 0.78}                                                                    
{'loss': 0.2887, 'grad_norm': 1.5054384469985962, 'learning_rate': 0.00016363636363636366, 'epoch': 0.78}                                                                    
{'loss': 0.2305, 'grad_norm': 1.0179115533828735, 'learning_rate': 0.00016323232323232326, 'epoch': 0.79}                                                                    
{'loss': 0.2858, 'grad_norm': 5.249075889587402, 'learning_rate': 0.00016282828282828283, 'epoch': 0.8}                                                                      
{'loss': 0.266, 'grad_norm': 1.311811089515686, 'learning_rate': 0.00016242424242424243, 'epoch': 0.81}                                                                      
{'loss': 0.3023, 'grad_norm': 1.7454315423965454, 'learning_rate': 0.00016202020202020202, 'epoch': 0.82}                                                                    
{'loss': 0.2809, 'grad_norm': 1.4314031600952148, 'learning_rate': 0.00016161616161616162, 'epoch': 0.82}                                                                    
{'loss': 0.2638, 'grad_norm': 1.660785436630249, 'learning_rate': 0.00016121212121212122, 'epoch': 0.83}                                                                     
{'loss': 0.2711, 'grad_norm': 1.2353545427322388, 'learning_rate': 0.00016080808080808082, 'epoch': 0.84}                                                                    
{'loss': 0.2899, 'grad_norm': 1.4634239673614502, 'learning_rate': 0.0001604040404040404, 'epoch': 0.85}                                                                     
{'loss': 0.3062, 'grad_norm': 1.7749285697937012, 'learning_rate': 0.00016, 'epoch': 0.86}                                                                                   
{'loss': 0.2757, 'grad_norm': 2.090085744857788, 'learning_rate': 0.0001595959595959596, 'epoch': 0.87}                                                                      
{'loss': 0.2273, 'grad_norm': 2.5823216438293457, 'learning_rate': 0.0001591919191919192, 'epoch': 0.87}                                                                     
{'loss': 0.2482, 'grad_norm': 1.415906310081482, 'learning_rate': 0.0001587878787878788, 'epoch': 0.88}                                                                      
{'loss': 0.2116, 'grad_norm': 1.1785622835159302, 'learning_rate': 0.00015838383838383838, 'epoch': 0.89}                                                                    
{'loss': 0.2435, 'grad_norm': 2.0067641735076904, 'learning_rate': 0.00015797979797979798, 'epoch': 0.9}                                                                     
{'loss': 0.3052, 'grad_norm': 2.316039800643921, 'learning_rate': 0.00015757575757575757, 'epoch': 0.91}                                                                     
{'loss': 0.2687, 'grad_norm': 1.6391470432281494, 'learning_rate': 0.00015717171717171717, 'epoch': 0.91}                                                                    
{'loss': 0.2478, 'grad_norm': 1.6165087223052979, 'learning_rate': 0.0001567676767676768, 'epoch': 0.92}                                                                     
{'loss': 0.2218, 'grad_norm': 0.9232423901557922, 'learning_rate': 0.00015636363636363637, 'epoch': 0.93}                                                                    
{'loss': 0.268, 'grad_norm': 1.4362256526947021, 'learning_rate': 0.00015595959595959597, 'epoch': 0.94}                                                                     
{'loss': 0.2494, 'grad_norm': 1.7741692066192627, 'learning_rate': 0.00015555555555555556, 'epoch': 0.95}                                                                    
{'loss': 0.2423, 'grad_norm': 1.047216534614563, 'learning_rate': 0.00015515151515151516, 'epoch': 0.96}                                                                     
{'loss': 0.3025, 'grad_norm': 1.9046194553375244, 'learning_rate': 0.00015474747474747476, 'epoch': 0.96}                                                                    
{'loss': 0.206, 'grad_norm': 0.7308834195137024, 'learning_rate': 0.00015434343434343436, 'epoch': 0.97}                                                                     
{'loss': 0.2014, 'grad_norm': 0.9156675934791565, 'learning_rate': 0.00015393939393939393, 'epoch': 0.98}                                                                    
{'loss': 0.3121, 'grad_norm': 1.8523789644241333, 'learning_rate': 0.00015353535353535353, 'epoch': 0.99}                                                                    
{'loss': 0.2876, 'grad_norm': 1.456151008605957, 'learning_rate': 0.00015313131313131315, 'epoch': 1.0}                                                                      
{'loss': 0.3441, 'grad_norm': 2.450836181640625, 'learning_rate': 0.00015272727272727275, 'epoch': 1.0}                                                                      
{'loss': 0.2143, 'grad_norm': 2.1552734375, 'learning_rate': 0.00015232323232323235, 'epoch': 1.01}                                                                          
{'loss': 0.2067, 'grad_norm': 0.9853358268737793, 'learning_rate': 0.00015191919191919192, 'epoch': 1.02}                                                                    
{'loss': 0.2124, 'grad_norm': 0.9617838263511658, 'learning_rate': 0.00015151515151515152, 'epoch': 1.02}                                                                    
{'loss': 0.1948, 'grad_norm': 0.860989511013031, 'learning_rate': 0.0001511111111111111, 'epoch': 1.03}                                                                      
{'loss': 0.194, 'grad_norm': 0.9351974129676819, 'learning_rate': 0.0001507070707070707, 'epoch': 1.04}                                                                      
{'loss': 0.2504, 'grad_norm': 1.9223865270614624, 'learning_rate': 0.0001503030303030303, 'epoch': 1.05}                                                                     
{'loss': 0.1905, 'grad_norm': 0.9713230133056641, 'learning_rate': 0.0001498989898989899, 'epoch': 1.06}                                                                     
{'loss': 0.1894, 'grad_norm': 0.8140606880187988, 'learning_rate': 0.0001494949494949495, 'epoch': 1.07}                                                                     
{'loss': 0.2461, 'grad_norm': 1.9176089763641357, 'learning_rate': 0.0001490909090909091, 'epoch': 1.07}                                                                     
{'loss': 0.2038, 'grad_norm': 0.9926497936248779, 'learning_rate': 0.0001486868686868687, 'epoch': 1.08}                                                                     
{'loss': 0.1684, 'grad_norm': 0.6967034935951233, 'learning_rate': 0.0001482828282828283, 'epoch': 1.09}                                                                     
{'loss': 0.2093, 'grad_norm': 1.1338326930999756, 'learning_rate': 0.0001478787878787879, 'epoch': 1.1}                                                                      
{'loss': 0.2605, 'grad_norm': 1.303772211074829, 'learning_rate': 0.00014747474747474747, 'epoch': 1.11}                                                                     
{'loss': 0.2444, 'grad_norm': 1.3450201749801636, 'learning_rate': 0.00014707070707070706, 'epoch': 1.11}                                                                    
{'loss': 0.2247, 'grad_norm': 1.2637461423873901, 'learning_rate': 0.00014666666666666666, 'epoch': 1.12}                                                                    
{'loss': 0.219, 'grad_norm': 0.8116887807846069, 'learning_rate': 0.0001462626262626263, 'epoch': 1.13}                                                                      
{'loss': 0.2217, 'grad_norm': 0.917241096496582, 'learning_rate': 0.00014585858585858586, 'epoch': 1.14}                                                                     
{'loss': 0.2292, 'grad_norm': 0.968820333480835, 'learning_rate': 0.00014545454545454546, 'epoch': 1.15}                                                                     
{'loss': 0.2283, 'grad_norm': 1.0591033697128296, 'learning_rate': 0.00014505050505050505, 'epoch': 1.16}                                                                    
{'loss': 0.2448, 'grad_norm': 0.9530737996101379, 'learning_rate': 0.00014464646464646465, 'epoch': 1.16}                                                                    
{'loss': 0.2078, 'grad_norm': 0.7461631894111633, 'learning_rate': 0.00014424242424242425, 'epoch': 1.17}                                                                    
{'loss': 0.3009, 'grad_norm': 1.7433356046676636, 'learning_rate': 0.00014383838383838385, 'epoch': 1.18}                                                                    
{'loss': 0.2619, 'grad_norm': 1.5274230241775513, 'learning_rate': 0.00014343434343434342, 'epoch': 1.19}                                                                    
{'loss': 0.2552, 'grad_norm': 0.9805212020874023, 'learning_rate': 0.00014303030303030304, 'epoch': 1.2}                                                                     
{'loss': 0.2637, 'grad_norm': 1.6106822490692139, 'learning_rate': 0.00014262626262626264, 'epoch': 1.2}                                                                     
{'loss': 0.2175, 'grad_norm': 1.197024941444397, 'learning_rate': 0.00014222222222222224, 'epoch': 1.21}                                                                     
{'loss': 0.2284, 'grad_norm': 1.8240737915039062, 'learning_rate': 0.00014181818181818184, 'epoch': 1.22}                                                                    
{'loss': 0.2219, 'grad_norm': 1.046403169631958, 'learning_rate': 0.0001414141414141414, 'epoch': 1.23}                                                                      
{'loss': 0.244, 'grad_norm': 1.1866744756698608, 'learning_rate': 0.000141010101010101, 'epoch': 1.24}                                                                       
{'loss': 0.2138, 'grad_norm': 1.0315099954605103, 'learning_rate': 0.0001406060606060606, 'epoch': 1.24}                                                                     
{'loss': 0.1697, 'grad_norm': 0.6592918038368225, 'learning_rate': 0.0001402020202020202, 'epoch': 1.25}                                                                     
{'loss': 0.2271, 'grad_norm': 0.7966138124465942, 'learning_rate': 0.0001397979797979798, 'epoch': 1.26}                                                                     
{'loss': 0.1979, 'grad_norm': 0.7926498055458069, 'learning_rate': 0.0001393939393939394, 'epoch': 1.27}                                                                     
{'loss': 0.2401, 'grad_norm': 1.142006278038025, 'learning_rate': 0.000138989898989899, 'epoch': 1.28}                                                                       
{'loss': 0.185, 'grad_norm': 0.599284827709198, 'learning_rate': 0.0001385858585858586, 'epoch': 1.29}                                                                       
{'loss': 0.2357, 'grad_norm': 0.821719765663147, 'learning_rate': 0.0001381818181818182, 'epoch': 1.29}                                                                      
{'loss': 0.228, 'grad_norm': 1.3330103158950806, 'learning_rate': 0.0001377777777777778, 'epoch': 1.3}                                                                       
{'loss': 0.3028, 'grad_norm': 1.9994382858276367, 'learning_rate': 0.0001373737373737374, 'epoch': 1.31}                                                                     
{'loss': 0.259, 'grad_norm': 1.194465160369873, 'learning_rate': 0.00013696969696969696, 'epoch': 1.32}                                                                      
{'loss': 0.2004, 'grad_norm': 0.8351877927780151, 'learning_rate': 0.00013656565656565656, 'epoch': 1.33}                                                                    
{'loss': 0.2172, 'grad_norm': 0.886296808719635, 'learning_rate': 0.00013616161616161618, 'epoch': 1.33}                                                                     
{'loss': 0.1999, 'grad_norm': 0.6677488684654236, 'learning_rate': 0.00013575757575757578, 'epoch': 1.34}                                                                    
{'loss': 0.2056, 'grad_norm': 0.6151472926139832, 'learning_rate': 0.00013535353535353538, 'epoch': 1.35}                                                                    
{'loss': 0.198, 'grad_norm': 0.7806071639060974, 'learning_rate': 0.00013494949494949495, 'epoch': 1.36}                                                                     
{'loss': 0.2124, 'grad_norm': 1.6965807676315308, 'learning_rate': 0.00013454545454545455, 'epoch': 1.37}                                                                    
{'loss': 0.2155, 'grad_norm': 0.8608871102333069, 'learning_rate': 0.00013414141414141414, 'epoch': 1.38}                                                                    
{'loss': 0.1993, 'grad_norm': 0.6949655413627625, 'learning_rate': 0.00013373737373737374, 'epoch': 1.38}                                                                    
{'loss': 0.2251, 'grad_norm': 1.0130101442337036, 'learning_rate': 0.00013333333333333334, 'epoch': 1.39}                                                                    
{'loss': 0.2321, 'grad_norm': 0.9590024352073669, 'learning_rate': 0.00013292929292929294, 'epoch': 1.4}                                                                     
{'loss': 0.1869, 'grad_norm': 0.7255128026008606, 'learning_rate': 0.00013252525252525254, 'epoch': 1.41}                                                                    
{'loss': 0.2289, 'grad_norm': 1.251768946647644, 'learning_rate': 0.00013212121212121213, 'epoch': 1.42}                                                                     
{'loss': 0.2065, 'grad_norm': 0.625995397567749, 'learning_rate': 0.00013171717171717173, 'epoch': 1.42}                                                                     
{'loss': 0.1875, 'grad_norm': 0.7261362075805664, 'learning_rate': 0.00013131313131313133, 'epoch': 1.43}                                                                    
{'loss': 0.2001, 'grad_norm': 1.2645044326782227, 'learning_rate': 0.00013090909090909093, 'epoch': 1.44}                                                                    
{'loss': 0.2161, 'grad_norm': 1.0551981925964355, 'learning_rate': 0.0001305050505050505, 'epoch': 1.45}                                                                     
{'loss': 0.1886, 'grad_norm': 0.5618017315864563, 'learning_rate': 0.0001301010101010101, 'epoch': 1.46}                                                                     
{'loss': 0.2272, 'grad_norm': 0.8201190233230591, 'learning_rate': 0.0001296969696969697, 'epoch': 1.47}                                                                     
{'loss': 0.2156, 'grad_norm': 0.7711265087127686, 'learning_rate': 0.00012929292929292932, 'epoch': 1.47}                                                                    
{'loss': 0.2129, 'grad_norm': 0.9081250429153442, 'learning_rate': 0.00012888888888888892, 'epoch': 1.48}                                                                    
{'loss': 0.2719, 'grad_norm': 1.2672604322433472, 'learning_rate': 0.0001284848484848485, 'epoch': 1.49}                                                                     
{'loss': 0.2404, 'grad_norm': 0.9727844595909119, 'learning_rate': 0.00012808080808080809, 'epoch': 1.5}                                                                     
{'loss': 0.2072, 'grad_norm': 0.7569370269775391, 'learning_rate': 0.00012767676767676768, 'epoch': 1.51}                                                                    
{'loss': 0.2187, 'grad_norm': 0.8111715912818909, 'learning_rate': 0.00012727272727272728, 'epoch': 1.51}                                                                    
{'loss': 0.1885, 'grad_norm': 0.5821540951728821, 'learning_rate': 0.00012686868686868688, 'epoch': 1.52}                                                                    
{'loss': 0.2612, 'grad_norm': 1.0690557956695557, 'learning_rate': 0.00012646464646464645, 'epoch': 1.53}                                                                    
{'loss': 0.2144, 'grad_norm': 0.6675155758857727, 'learning_rate': 0.00012606060606060605, 'epoch': 1.54}                                                                    
{'loss': 0.2181, 'grad_norm': 0.8102932572364807, 'learning_rate': 0.00012565656565656567, 'epoch': 1.55}                                                                    
{'loss': 0.1893, 'grad_norm': 0.6279400587081909, 'learning_rate': 0.00012525252525252527, 'epoch': 1.56}                                                                    
{'loss': 0.2073, 'grad_norm': 0.5292547345161438, 'learning_rate': 0.00012484848484848487, 'epoch': 1.56}                                                                    
{'loss': 0.2102, 'grad_norm': 0.831045925617218, 'learning_rate': 0.00012444444444444444, 'epoch': 1.57}                                                                     
{'loss': 0.1703, 'grad_norm': 0.46056580543518066, 'learning_rate': 0.00012404040404040404, 'epoch': 1.58}                                                                   
{'loss': 0.2011, 'grad_norm': 0.6824486255645752, 'learning_rate': 0.00012363636363636364, 'epoch': 1.59}                                                                    
{'loss': 0.2184, 'grad_norm': 0.9109665155410767, 'learning_rate': 0.00012323232323232323, 'epoch': 1.6}                                                                     
{'loss': 0.1871, 'grad_norm': 0.5208227038383484, 'learning_rate': 0.00012282828282828283, 'epoch': 1.6}                                                                     
{'loss': 0.2484, 'grad_norm': 1.0754284858703613, 'learning_rate': 0.00012242424242424243, 'epoch': 1.61}                                                                    
{'loss': 0.1934, 'grad_norm': 0.6550309062004089, 'learning_rate': 0.00012202020202020204, 'epoch': 1.62}                                                                    
{'loss': 0.2244, 'grad_norm': 1.208411455154419, 'learning_rate': 0.00012161616161616162, 'epoch': 1.63}                                                                     
{'loss': 0.1856, 'grad_norm': 0.6747453212738037, 'learning_rate': 0.00012121212121212122, 'epoch': 1.64}                                                                    
{'loss': 0.2055, 'grad_norm': 0.6688521504402161, 'learning_rate': 0.00012080808080808082, 'epoch': 1.64}                                                                    
{'loss': 0.2156, 'grad_norm': 0.7594543695449829, 'learning_rate': 0.0001204040404040404, 'epoch': 1.65}                                                                     
{'loss': 0.2046, 'grad_norm': 1.0554218292236328, 'learning_rate': 0.00012, 'epoch': 1.66}                                                                                   
{'loss': 0.2207, 'grad_norm': 0.9137039184570312, 'learning_rate': 0.0001195959595959596, 'epoch': 1.67}                                                                     
{'loss': 0.1926, 'grad_norm': 0.7068173885345459, 'learning_rate': 0.00011919191919191919, 'epoch': 1.68}                                                                    
{'loss': 0.1906, 'grad_norm': 0.6268402934074402, 'learning_rate': 0.0001187878787878788, 'epoch': 1.69}                                                                     
{'loss': 0.2348, 'grad_norm': 2.010214328765869, 'learning_rate': 0.0001183838383838384, 'epoch': 1.69}                                                                      
{'loss': 0.2042, 'grad_norm': 0.5852687358856201, 'learning_rate': 0.00011797979797979799, 'epoch': 1.7}                                                                     
{'loss': 0.2141, 'grad_norm': 0.7292314171791077, 'learning_rate': 0.00011757575757575758, 'epoch': 1.71}                                                                    
{'loss': 0.2628, 'grad_norm': 1.0414153337478638, 'learning_rate': 0.00011717171717171717, 'epoch': 1.72}                                                                    
{'loss': 0.2004, 'grad_norm': 0.7210591435432434, 'learning_rate': 0.00011676767676767677, 'epoch': 1.73}                                                                    
{'loss': 0.1971, 'grad_norm': 0.5380000472068787, 'learning_rate': 0.00011636363636363636, 'epoch': 1.73}                                                                    
{'loss': 0.2334, 'grad_norm': 0.7877517938613892, 'learning_rate': 0.00011595959595959596, 'epoch': 1.74}                                                                    
{'loss': 0.2419, 'grad_norm': 0.7981677651405334, 'learning_rate': 0.00011555555555555555, 'epoch': 1.75}                                                                    
{'loss': 0.2035, 'grad_norm': 0.615301251411438, 'learning_rate': 0.00011515151515151516, 'epoch': 1.76}                                                                     
